TC Values: Table 1
TC Name,School,Value
Celestial Calendar,Myth,< 1
Chimenea,Myth,1-3
Cleanse Ward,Myth,< 1
Cyclops,Myth,< 1
Cyclops [FC],Myth,N/A
Cyclops Minion,Myth,< 1
Cyclops Minion [FC],Myth,N/A
Double Vaporize,Myth,1-2
Draw Power,Myth,< 1
Draw Power [FC],Myth,N/A
Earthquake,Myth,< 1
Earthquake [EOB],Myth,2-4
Errant Gobbler,Myth,1-3
Ether Shield,Myth,< 1
Fable Lord,Myth,1-3
Frenzied Minotaur,Myth,< 1
General Akilles,Myth,< 1
Gobbler,Myth,< 1
Golem Minion,Myth,< 1
Golem Minion [FC],Myth,N/A
Grendel's Amends,Myth,15-25
Humongofrog,Myth,< 1
Jacques,Myth,< 1
Keeper of the Flame,Myth,< 1
Legendary Treant,Myth,< 1
Legendary Treant (3 Pip),Myth,N/A
Mass Myth Prism,Myth,< 1
Medusa,Myth,< 1
Mega Subdue,Myth,< 1
Mend Minion,Myth,< 1
Mend Minion [FC],Myth,N/A
Minotaur,Myth,< 1
Minotaur [EOB],Myth,< 1
Minotaur Minion,Myth,< 1
Minotaur Minion [FC],Myth,N/A
Mutate Minotaur,Myth,< 1
Mystic Colossus,Myth,1-3
Myth Banshee,Myth,1-2
Myth Blade,Myth,< 1
Myth Fuel,Myth,< 1
Myth Leprechaun,Myth,< 1
Myth Prism,Myth,< 1
Myth Shield,Myth,< 1
Myth Shield [EOB],Myth,1-2
Myth Trap,Myth,< 1
Myth Trap [EOB],Myth,1
Mythspear,Myth,< 1
Ninja Pig,Myth,< 1
Oni No Jade,Myth,< 1
Orthrus,Myth,< 1
Otomo Fury,Myth,< 1
Pierce,Myth,< 1
Punklops,Myth,< 1
Punklops [WH],Myth,< 1
Rat Illusionist,Myth,2-4
Reflective Wall,Myth,1
Shatter,Myth,< 1
Shield Minion,Myth,< 1
Shield Minion [FC],Myth,N/A
Shift,Myth,3-5
Siphon Health,Myth,< 1
Siphon Health [FC],Myth,N/A
Stone Colossus,Myth,< 1
Stun,Myth,1-2
Stun [EOB],Myth,2-5
Subdue,Myth,< 1
Talos,Myth,< 1
Time of Legend,Myth,< 1
Time of Legend [EOB],Myth,1-2
Tough,Myth,< 1
Troll,Myth,< 1
Troll [FC],Myth,N/A
Troll Minion,Myth,< 1
Troll Minion [FC],Myth,N/A
Vaporize,Myth,< 1
War Helephant,Myth,< 1
White Rat Magician,Myth,2-4
Witch's Housecall,Myth,2
Yellow Troll,Myth,2-3
Blade Golem,Life,< 1
Brilliant Light,Life,< 1
Bronze Helephant,Life,< 1
Brown Spider,Life,8-12
Brulee Sucre,Life,10-15
Calm,Life,< 1
Centaur,Life,< 1
Centaur [EOB],Life,1
Clockwork,Life,< 1
Double Entangle,Life,1-2
Drain Health,Life,< 1
Drain Health [FC],Life,N/A
Dryad,Life,< 1
Earth Walker [FC],Life,N/A
Earth Walker [MM],Life,45-75
Energy Wall,Life,< 1
Entangle,Life,< 1
Fairy,Life,< 1
Fairy [EOB],Life,< 1
Flowering Dryad,Life,1
Foresaken Banshee,Life,< 1
Forest Lord,Life,< 1
Forest Lord Cub,Life,1
Giant Spider,Life,< 1
Gnomes,Life,< 1
Goat Monk,Life,< 1
Goat Monk (240-290),Life,30-60
Green Widow,Life,< 1
Guidance,Life,< 1
Guiding Light,Life,< 1
Guiding Light [EOB],Life,1-3
Harmattan Maxios,Life,130-170
Hungry Caterpillar,Life,2
Imitsu Punisher,Life,< 1
Imp,Life,< 1
Leafstorm,Life,15-30
Legend Shield,Life,< 1
Leprechaun,Life,< 1
Leprechaun [FC],Life,N/A
Life Banshee,Life,< 1
Life Bats,Life,< 1
Life Prism,Life,< 1
Life Scarab,Life,1
Life Shield,Life,< 1
Life Shield [EOB],Life,1-2
Life Trap,Life,< 1
Life Trap [EOB],Life,1
Lifeblade,Life,< 1
Lifespear,Life,< 1
Luminous Weaver,Life,< 1
Mass Life Prism,Life,< 1
Mass Triage,Life,< 1
Mega Calm,Life,< 1
Minor Blessing,Life,1
Mutate Sprite,Life,< 1
Natures Wrath,Life,< 1
Natures Wrath [FC],Life,N/A
Pigsie,Life,70-95
Pixie,Life,< 1
Pixie [EOB],Life,< 1
Pixie [FC],Life,N/A
Potboiler,Life,1-3
Ratatoskr's Spin,Life,80-100
Rebirth,Life,1
Regenerate,Life,< 1
Rocklops,Life,< 1
Rocklops [WH],Life,< 1
Sanctuary,Life,< 1
Sand Stalker,Life,< 1
Satyr,Life,< 1
Satyr (95%),Life,1-3
Seraph,Life,< 1
Spinysaur,Life,< 1
Spirit Armor,Life,< 1
Spirit Armor [EOB],Life,< 1
Sprite,Life,< 1
Sprite [EOB],Life,< 1
Sprite Guardian,Life,< 1
Sprite Guardian [FC],Life,N/A
Sprite Swarm,Life,< 1
Triage,Life,1-2
Unicorn,Life,< 1
Unicorn [FC],Life,N/A
Wings of Fate,Life,2-3
Woodwalker,Life,< 1
Youkai (Illegal),Life,10000-15000+
Animate,Death,< 1
Animate [FC],Death,N/A
Avenging Fossil,Death,< 1
Bad Juju (3 Pip),Death,5-10
Banshee,Death,< 1
Beguile,Death,< 1
Beguile [EOB],Death,1-3
Black Cat,Death,< 1
Black Cat [FC],Death,N/A
Black Cat [MM],Death,10-20
Black Widow,Death,< 1
Bonetree Lord,Death,3-5
Call of Khrulhu,Death,2
Colossafrog,Death,1-3
Crow,Death,< 1
Curse,Death,< 1
Curse [EOB],Death,< 1
Dark Pact,Death,< 1
Dark Sprite,Death,< 1
Dark Sprite [FC],Death,N/A
Deadly Minotaur,Death,6-12
Death Bats,Death,1-2
Death Helephant,Death,< 1
Death Helephant (Deckathalon),Death,50-75
Death Prism,Death,< 1
Death Scarab,Death,1
Death Seraph,Death,< 1
Death Shield,Death,< 1
Death Shield [EOB],Death,1-2
Death Soldier,Death,< 1
Death Trap,Death,< 1
Death Trap [EOB],Death,1
Death Troll,Death,< 1
Deathblade,Death,< 1
Deathspear,Death,< 1
Deer Knight,Death,2-3
Diablo Qarin,Death,25-40
Diseased Spirit,Death,< 1
Doom and Gloom,Death,< 1
Doom and Gloom [EOB],Death,15-25
Double Strangle,Death,1-2
Dr. Von's Monster,Death,< 1
Dream Shield,Death,< 1
Feint,Death,< 1
Feint [EOB],Death,3-4
Ghoul,Death,< 1
Ghoul [FC],Death,N/A
Gold Skeleton,Death,< 1
Headless Horseman,Death,1-3
Hooligan,Death,< 1
Infection,Death,< 1
Kakeda Painbringer,Death,< 1
Kettleblack,Death,1-3
Leperchaun (Other Packs),Death,< 1
Leperchaun [FC],Death,N/A
Leperchaun [MM],Death,30-60
Lifebane,Death,9000-12000
Lord Nightshade,Death,< 1
Lord of Night,Death,< 1
Mass Death Prism,Death,< 1
Mass Infection,Death,< 1
Mega Pacify,Death,< 1
Meowiarty,Death,< 1
Metalops,Death,< 1
Monk of Mourning,Death,< 1
Monster Mash (Illegal),Death,500-900
O'Leary Charlatan,Death,< 1
Oni No Death,Death,< 1
Plague,Death,< 1
Poison,Death,< 1
Red Banshee,Death,< 1
Red Ghost,Death,6-10
Sacrifice,Death,< 1
Scarecrow,Death,< 1
Scrounger,Death,< 1
Shadow Cat,Death,< 1
Ship of Fools,Death,10-20
Silencing Wall,Death,1
Skeletal Buccaneer,Death,< 1
Skeletal Dragon,Death,< 1
Skeletal Pirate,Death,< 1
Steal Health [FC],Death,1-5
Strangle,Death,< 1
The Bonekeeper,Death,< 1
Virulent Plague,Death,< 1
Winged Sorrow,Death,2
Availing Hands,Balance,< 1
Balanceblade,Balance,< 1
Balanceblade [EOB],Balance,3-5
Big Bad Hound,Balance,< 1
Black Mantle,Balance,< 1
Black Mantle [EOB],Balance,1-2
Blademaster,Balance,< 1
Bladestorm,Balance,1
Bladestorm [EOB],Balance,5-8
Chimera,Balance,< 1
Clockwork Spider,Balance,< 1
Double Unbalance,Balance,1-2
Dragonblade,Balance,1-2
Dragonblade [FC],Balance,N/A
Dragonblade [MM],Balance,30
Dragonspear,Balance,< 1
Eldritch Banshee,Balance,< 1
Elemental Blades,Balance,< 1
Elemental Blades [PH],Balance,< 1
Elemental Defuse,Balance,< 1
Elemental Shield,Balance,< 1
Elemental Spear,Balance,< 1
Elemental Traps,Balance,< 1
Elemental Traps [EOB],Balance,2-3
Fang Guardian,Balance,< 1
Franklinstove,Balance,1-3
Franklinstove (No PvP),Balance,< 1
Gaze of Fate,Balance,2
Gear Spinner,Balance,< 1
Gearhead Destroyer,Balance,< 1
Helping Hands,Balance,< 1
Helping Hands [EOB],Balance,< 1
Hex,Balance,< 1
Hex [EOB],Balance,< 1
Hydra,Balance,< 1
Hydra [EOB],Balance,< 1
Jade Oni [FC],Balance,N/A
Jade Oni [MM],Balance,20-40
Jade Oni [NL],Balance,< 1
Judgement,Balance,< 1
Judgement (Any Pack),Balance,< 1
Krokotillian,Balance,< 1
Krokotillian [FC],Balance,N/A
Lady Blackhope,Balance,< 1
Lernaean Hydra,Balance,3
Locust Swarm,Balance,< 1
Lord of Atonement,Balance,4-8
Loremaster,Balance,6-10
Lycian Chimera,Balance,1
Mander Minion,Balance,1
Mander Minion [FC],Balance,N/A
Nested Fury,Balance,< 1
Ninja Piglets,Balance,2-4
Obsidian Colossus,Balance,< 1
Oni No War,Balance,< 1
Plague Ninja Pig (Deckalathon),Balance,75-150
Power Nova,Balance,< 1
Power Play,Balance,< 1
Power Play [EOB],Balance,< 1
Precision,Balance,< 1
Precision [EOB],Balance,< 1
Ra,Balance,< 1
Reshuffle,Balance,< 1
Reshuffle [EOB],Balance,75-100
Sabertooth,Balance,< 1
Samoorai,Balance,< 1
Sandstone Colossus,Balance,< 1
Sandstorm,Balance,< 1
Sap Health,Balance,< 1
Sap Health [FC],Balance,N/A
Savage Paw,Balance,< 1
Scarab,Balance,< 1
Scarab [FC],Balance,N/A
Scorpion,Balance,< 1
Shield Wall,Balance,< 1
Sirocco Djinni,Balance,35-45
Spectral Blast,Balance,< 1
Spirit Blades,Balance,< 1
Spirit Blades (Any Pack),Balance,< 1
Spirit Defuse,Balance,< 1
Spirit Shield,Balance,< 1
Spirit Spear,Balance,< 1
Spirit Traps,Balance,< 1
Spirit Traps [EOB],Balance,3
Spiritual Tribunal,Balance,10-20
Steel Colossus,Balance,< 1
Steel Giant,Balance,1-3
Stinging Sandstorm,Balance,< 1
Stone Wall,Balance,1
Unbalance,Balance,< 1
Weakness,Balance,< 1
Weakness [EOB],Balance,2-3
Moon Blade (Illegal),Moon,250-500
Moon Shield (Illegal),Moon,250-500
Moon Trap (Illegal),Moon,250-500
Polymorph Bandit,Moon,< 1
Polymorph Colossus,Moon,< 1
Polymorph Dracon,Moon,< 1
Polymorph Elemental,Moon,< 1
Polymorph Gobbler,Moon,< 1
Polymorph Icehorn,Moon,< 1
Polymorph Jaguar,Moon,< 1
Polymorph Mander,Moon,< 1
Polymorph Ninja,Moon,< 1
Polymorph Pteranodon,Moon,< 1
Polymorph Treant,Moon,< 1
Amplify,Star,< 1
Berserk,Star,< 1
Chastisement,Star,< 1
Conviction,Star,< 1
Cycle of Life,Star,< 1
Empowerment,Star,< 1
Fortify,Star,< 1
Furnace,Star,< 1
Galvanic Field,Star,< 1
Infallible,Star,< 1
Mend,Star,< 1
Punishment,Star,< 1
Reliquary,Star,< 1
Sleet Storm,Star,< 1
Vengeance,Star,< 1
Virulence,Star,< 1
Accurate,Sun,< 1
Accurate [EOB],Sun,< 1
Boreas Ifrit (Illegal),Sun,10000-15000+
Cloak,Sun,< 1
Dragonblade (45%) (Illegal),Sun,200-450
Dragonblade (50%) (Illegal),Sun,200-450
Elucidate,Sun,500-575
Epic,Sun,200-300
Giant,Sun,< 1
Giant [EOB],Sun,< 1
Keen Eyes,Sun,< 1
Keen Eyes [EOB],Sun,< 1
Monstrous,Sun,< 1
Monstrous [EOB],Sun,90-130
Mutate Banshee (Forsaken Banshee),Sun,< 1
Mutate Elf (Storm Elf),Sun,< 1
Mutate Kraken (Inferno Kraken),Sun,< 1
Mutate Phoenix (Thunderbird),Sun,< 1
Mutate Sprite,Sun,< 1
Mutate Swarm,Sun,< 1
Mutate Wyvern (Fire Wyvern),Sun,< 1
Primordial,Sun,1-3
Simplify,Sun,300-350
Sniper,Sun,< 1
Sniper [EOB],Sun,1-3
Strong,Sun,< 1
Ant Lion,Gardening,2-3
Baby Sunbird,Gardening,1-2
Bee Hive,Gardening,3-5
Bee Swarm,Gardening,< 1
Bee Team,Gardening,< 1
Bold Magic,Gardening,< 1
Brilliant Beams,Gardening,< 1
Bug Bolt,Gardening,< 1
Deep Freeze,Gardening,< 1
Downpour,Gardening,1-2
Dragonflies,Gardening,1
Flood,Gardening,2-5
Flute Ensemble,Gardening,1-2
Flute Solo,Gardening,< 1
Flute Symphony,Gardening,2-5
Fly Swatter,Gardening,1
Gusty Winds,Gardening,< 1
Hasty Harvest 1,Gardening,6-10
Itsy Bitsy Spider,Gardening,1-3
Massive Pest Zapper,Gardening,1-2
Miniature Bloodbats Mist,Gardening,1
Pest Bomb,Gardening,< 1
Pest Zappers,Gardening,< 1
Plant All,Gardening,15-30
Plow All,Gardening,10-25
Pungent Bug Spray,Gardening,1-2
Putrid Bug Spray,Gardening,1-2
Second Spring,Gardening,1
Shower,Gardening,< 1
Solar Flares,Gardening,3-6
Strawman,Gardening,1-2
Streaming Sunlight,Gardening,< 1
Summon Pixie,Gardening,3-6
Supreme Sunburst,Gardening,1-3
Touch of Magic,Gardening,< 1
Uncanny Magic,Gardening,1-3
Warming Rays,Gardening,< 1
Wind Chimes,Gardening,3-7
Worker Bee,Gardening,< 1
Zounds...Bees!,Gardening,1-3

Crown Values: Table 1
Crown Item,Value
$10 Kroger Card,2400-4000
$20 Kroger Card,5000-7000
$29 Bundle (Spooky Carnival Bundle),5000-7000
$29 Bundle (Not Spooky Carnival Bundle),3500-7000
$29 Bundle (Retired),4000-8000
$39 Bundle,5000-8000
$39 Bundle (Retired),5500-9000
1 Month Membership / 5k Crowns,1700-2300
1 Month Prepaid Time (8000),1700-2300
1 Year Membership,9000-18000
1250 Crowns,500-620
13750 Crowns,4500-6000
2 Month Membership / 10k Crowns,3200-5500
2500 Crowns,800-1100
30000 Crowns,10000-13000
60000 Crowns,12000-18000
80000 Crowns,20000-27000
Additional Castle Elixir,595-805
Amaranthine Staff,3500-8000
Aquariums Set,130-175
Archangel's Attire,1200-1400
Artist's Armaments,90-120
Ascendant Staff,425-575
Baconator Costume,1920-2350
Blue Raptor,750-1300
Bolt Blade,290-390
Cephalopod Racer,1320-1540
Charmer's Mystical Flute (2500 - Life),425-575
Charmer's Mystical Flute (2750 - Ice),465-630
Charmer's Mystical Flute (3000 - Death),510-690
Charmer's Mystical Flute (3250 - Storm),550-750
Charmer's Mystical Flute (3500 - Fire),595-805
Charmer's Mystical Flute (3750 - Myth),640-805
Charmer's Mystical Flute (4000 - Balance),680-920
Clothing Bundles (10000),2400-2800
Clothing Bundles (11995),2880-3360
Clothing Bundles (1500),255-345
Clothing Bundles (2000),340-460
Clothing Bundles (3000),510-690
Clothing Bundles (5000),1200-1400
Clothing Bundles (8995),2160-2520
Clothing Bundles (9995),2400-2800
Crafting Elixir,40-60
Dapper Corgi,1920-2240
Death Leprechaun,780-1060
Deckathalon School Tower Packs,30-40
Electric Slide,595-805
Elixirs (1000),170-230
Elixirs (1200),205-280
Elixirs (1300),220-300
Elixirs (300),50-70
Elixirs (350),60-80
Elixirs (425),70-100
Elixirs (500),85-115
Elixirs (550),95-130
Energy Elixir (EE),40-60
Fishing Tanks (1500),255-345
Fog Staff,3500-8000
Green Cat Thug,280-380
Hatching Elixir,25-45
Hollow Knight,2160-2520
Ianthine Spectre,2370-2770
Jade Oni,1785-2080
Lava Spider,250-340
Leyline Dance,680-920
Lifeforce Blade,730-990
Major Damage Elixir,60-90
Major Fishing Luck Elixir,40-60
Major Health Elixir,40-50
Major Mana Elixir,30-40
Major Vengeful Elixir,340-460
Mastery Amulets,2480-2985
Mega Damage Elixir,180-250
Mega Fishing Luck Elixir,70-90
Mega Health Elixir,105-145
Mega Mana Elixir,80-110
Mega Reagent Pack,40-60
Mega-Snack Pack,425-575
Mounts (10000),2400-2800
Mounts (12500),3000-3500
Mounts (15000),3600-4200
Mounts (5000),1200-1400
Mounts (6000),1440-1680
Mounts (6500),1560-1820
Mounts (7000),1680-1960
Mounts (7500),1800-2100
Mounts (9000),2160-2520
Myth Ghoul,130-170
New Fangle,765-1035
Overlord Set,2400-2800
Packs (199),35-45
Packs (299),50-70
Packs (399),70-90
Packs (599),100-140
Pet Bread Crumb Pack (100),20-25
Pets (5000),1200-1400
Pets (5500),1320-1540
Pets (6000),1440-1680
Pets (6500),1560-1820
Pets (7500),1800-2100
Pets (9500),2280-2660
Phosphorescent Maul,425-575
Purreau's Potion #9,70-90
Raven,680-920
Reagent Bundles,85-115
Remarkable Reagent Pack,20-25
Resplendent Rod,10-15
Royal Ibis,2400-2800
Scepter of Tribute,8-10
Sea Dragon,3000-3500
Sidhe Staff,765-1035
Snack Pack (115),20-30
Spooky Pet Bundle,6720-7840
Starter Bundles,1800-2100
Storm Hound,3590-4290
The Gallop,595-805
The Mightier Quill,90-120
The Strut,765-1035
Twister,595-805
Umbra Blade,1000-3500
Valkyrie Set,1680-1960
Vengeful Elixir,155-210
Weapons (2995),510-690
Weapons (3995),680-920
Weapons (4995),850-1150
Weapons (5495),1320-1540
Weapons (5995),1440-1680
Weapons (6495),1560-1820
Winged Deliverance,1270-1480
Wolfhound,1680-1960


Reagent Values: Table 1
Reagent Name,Rank,Value
Acorn,3,< 1
Aether,6,1-2
Aethyr Dust,1,< 1
Aethyr Ore,1,6-12
Agave Leaves,6,< 1
Agave Nectar,6,5-6
Amethyst,1,< 1
Ancient Scroll,4,1-2
Antique Chalice,1,1-2
Antique Chest,1,1-2
Antique Coins,1,1-2
Antique Egg,1,1-2
Antique Teapot,1,1-2
Antique Unicorn Statue,1,1-2
Aquamarine,6,< 1
